plotno,percgreen,percyellow,percbrown,idc_score
july_19_plot_201.pcd,0.0,22.75449101796407,11.776447105788424,3
july_19_plot_123.pcd,0.5414551607445008,28.866328257191203,4.602368866328257,2
july_19_plot_167.pcd,0.0,0.28735632183908044,33.33333333333333,5
july_19_plot_30.pcd,6.048600105652404,28.6053882725832,0.8716323296354992,2
july_19_plot_127.pcd,0.0,7.493540051679587,28.294573643410853,5
july_19_plot_197.pcd,0.0,20.449897750511248,16.56441717791411,4
july_19_plot_25.pcd,0.0,19.426048565121413,16.335540838852097,4
july_19_plot_90.pcd,2.948207171314741,30.46480743691899,1.2217795484727756,2
july_19_plot_58.pcd,0.6519967400162999,31.499592502037487,1.9559902200488997,2
july_19_plot_27.pcd,1.5964240102171137,29.821200510855682,3.1289910600255424,2
july_19_plot_166.pcd,0.0,7.434052757793765,28.896882494004792,5
july_19_plot_45.pcd,4.11465557096625,30.30513176144244,1.410078594544614,2
july_19_plot_14.pcd,0.0,16.260162601626014,20.32520325203252,4
july_19_plot_84.pcd,2.844141069397042,27.71331058020478,4.6643913538111486,2
july_19_plot_12.pcd,0.20768431983385255,21.23572170301142,13.551401869158877,3
july_19_plot_103.pcd,0.0,25.396825396825395,11.416361416361417,3
july_19_plot_125.pcd,0.0,4.537521815008725,30.19197207678883,5
july_19_plot_142.pcd,2.476376669925057,29.846855653307262,2.67188009123493,2
july_19_plot_112.pcd,0.0,21.44144144144144,14.414414414414415,4
july_19_plot_181.pcd,0.0,10.590277777777777,25.34722222222222,5
july_19_plot_102.pcd,6.5136764024107565,27.839592025961984,1.4835419564209549,2
july_19_plot_168.pcd,0.0,11.059907834101383,24.577572964669738,4
july_19_plot_11.pcd,11.948490605868693,18.598268946590668,3.2932235592146926,1
july_19_plot_211.pcd,0.0,5.797101449275362,28.743961352657006,5
july_19_plot_28.pcd,0.0,24.546722454672246,9.205020920502092,3
july_19_plot_182.pcd,0.5370929842228935,31.285666330983553,2.450486740516952,2
july_19_plot_41.pcd,0.0,11.975308641975309,22.77777777777778,4
july_19_plot_59.pcd,0.4528985507246377,31.793478260869566,1.947463768115942,2
july_19_plot_44.pcd,3.489889106327462,30.82191780821918,1.141552511415525,2
july_19_plot_99.pcd,3.436657681940701,26.347708894878707,5.1437556154537285,2
july_19_plot_13.pcd,0.13175230566534915,29.117259552042164,5.006587615283268,2
july_19_plot_138.pcd,0.0,7.956104252400549,27.29766803840878,5
july_19_plot_105.pcd,2.604166666666667,30.230978260869566,1.5172101449275361,2
july_19_plot_198.pcd,0.27731558513588467,29.61730449251248,4.492512479201332,2
july_19_plot_202.pcd,0.0,22.595078299776286,14.76510067114094,3
july_19_plot_75.pcd,4.044750430292599,29.37464142283419,1.6924842226047045,2
july_19_plot_169.pcd,4.080389768574909,29.780755176613887,1.1977263499796995,2
july_19_plot_60.pcd,0.8156028368794326,30.531914893617024,2.553191489361702,2
july_19_plot_42.pcd,4.911591355599214,27.76686313032089,3.2416502946954813,2
july_19_plot_74.pcd,0.0,9.63855421686747,26.907630522088354,5
july_19_plot_170.pcd,0.0,20.774647887323944,16.079812206572768,4
july_19_plot_26.pcd,0.0,5.704971475142624,29.665851670741645,5
july_19_plot_104.pcd,0.0,24.761904761904763,10.915750915750916,3
july_19_plot_117.pcd,1.3407821229050279,31.32216014897579,1.1173184357541899,2
july_19_plot_216.pcd,0.0,14.666666666666666,21.454545454545453,4
july_19_plot_86.pcd,1.554726368159204,28.91791044776119,3.482587064676617,2
july_19_plot_199.pcd,0.5596362364463099,29.34592514865337,4.267226302903112,2
july_22_plot_93.pcd,0.0,5.327573794096472,29.373650107991363,5
july_22_plot_219.pcd,15.49970077797726,19.569120287253142,1.3764213046080191,1
july_22_plot_48.pcd,0.0,18.467908902691512,17.267080745341616,4
july_22_plot_99.pcd,0.27901785714285715,22.767857142857142,11.086309523809524,3
july_22_plot_74.pcd,0.0,4.984423676012461,30.68535825545171,5
july_22_plot_111.pcd,0.0,5.194805194805195,30.08658008658009,5
july_22_plot_11.pcd,0.7256034355101437,27.498889382496667,5.182881682215312,2
july_22_plot_1.pcd,0.0,12.742616033755274,23.037974683544306,4
july_22_plot_84.pcd,1.1975065616797902,22.473753280839894,10.121391076115485,3
july_22_plot_32.pcd,0.2890173410404624,18.689788053949904,16.955684007707127,4
july_22_plot_4.pcd,0.05858230814294083,20.44522554188635,16.16871704745167,4
july_22_plot_68.pcd,0.0,13.805970149253731,21.393034825870647,4
july_22_plot_201.pcd,12.627986348122866,20.25028441410694,3.981797497155859,1
july_22_plot_79.pcd,0.0,23.337222870478413,9.41267989109296,3
july_22_plot_80.pcd,0.0,20.3656462585034,14.200680272108842,4
july_22_plot_56.pcd,0.0,22.22222222222222,13.291139240506327,3
july_22_plot_53.pcd,0.48484848484848486,27.93939393939394,4.787878787878788,2
july_22_plot_144.pcd,0.0,8.148148148148149,26.455026455026452,5
july_22_plot_138.pcd,0.0,2.4390243902439024,32.40418118466899,5
july_22_plot_75.pcd,7.118055555555555,26.953125,2.408854166666667,2
july_22_plot_129.pcd,0.0,17.98469387755102,18.452380952380953,4
july_22_plot_190.pcd,10.53921568627451,25.2859477124183,1.3888888888888888,1
july_22_plot_115.pcd,0.644122383252818,26.44927536231884,7.286634460547504,3
july_22_plot_86.pcd,0.50682261208577,26.354775828460035,7.602339181286549,3
july_22_plot_182.pcd,7.320068779169738,26.529108327192336,2.186195038074183,2
july_22_plot_36.pcd,0.0,2.9451137884872822,31.593038821954483,5
july_22_plot_176.pcd,7.7924564426574765,26.55561937583764,1.321079839172889,2
july_22_plot_168.pcd,0.0,17.404129793510325,18.289085545722713,4
july_22_plot_12.pcd,0.0,27.97173732335827,6.442227763923524,2
july_22_plot_198.pcd,15.08209240168003,19.511263841160748,2.252768232149675,1
july_22_plot_38.pcd,0.31065548306927615,30.133581857719786,3.5414725069897486,2
july_22_plot_132.pcd,2.552619793999104,29.54172264517092,2.567547395133602,2
july_22_plot_142.pcd,0.16155088852988692,29.133010231556273,4.738826063543349,2
july_22_plot_39.pcd,0.0,9.523809523809524,24.90842490842491,5
july_22_plot_133.pcd,1.6888888888888887,31.288888888888888,1.2148148148148148,2
july_22_plot_9.pcd,0.0,22.676056338028168,13.098591549295774,3
july_22_plot_22.pcd,0.13961605584642234,27.853403141361255,6.806282722513089,2
july_22_plot_214.pcd,14.301801801801803,20.326576576576578,1.7454954954954953,1
july_22_plot_49.pcd,0.0,16.13965744400527,20.158102766798418,4
july_22_plot_175.pcd,9.814563545906829,24.151967435549526,1.8091361374943467,1
july_22_plot_95.pcd,0.0,0.0,33.33333333333333,5
july_22_plot_126.pcd,0.0,2.867383512544803,32.168458781362006,5
july_22_plot_120.pcd,0.0,16.148689823278488,19.500304692260816,4
july_22_plot_163.pcd,4.385964912280701,28.613199665831246,2.923976608187134,2
july_22_plot_110.pcd,0.0,21.100917431192663,13.411970292704236,3
july_22_plot_109.pcd,0.0,0.1926782273603083,33.140655105973025,5
july_22_plot_169.pcd,16.477663230240548,18.453608247422682,1.1855670103092784,1
july_22_plot_25.pcd,0.0,14.86111111111111,21.73611111111111,4
july_22_plot_35.pcd,0.0,3.225806451612903,31.85483870967742,5
july_22_plot_140.pcd,0.0,7.312925170068027,27.806122448979593,5
july_22_plot_54.pcd,0.408997955010225,25.766871165644172,8.588957055214724,3
july_22_plot_108.pcd,0.026246719160104987,24.698162729658794,9.028871391076116,3
july_22_plot_52.pcd,0.0,20.427350427350426,16.025641025641026,4
july_22_plot_92.pcd,0.0,3.076923076923077,31.794871794871792,5
july_22_plot_83.pcd,0.04636068613815484,8.947612424663886,25.776541492814093,4
july_22_plot_101.pcd,0.0,1.8957345971563981,32.069510268562404,5
july_22_plot_100.pcd,0.0,8.261287223823247,26.12872238232469,5
july_22_plot_206.pcd,11.346765641569458,24.00141392718275,1.0604453870625663,1
july_22_plot_2.pcd,0.0,6.798245614035088,31.030701754385966,5
july_22_plot_177.pcd,15.166806840482197,21.44659377628259,0.7569386038687973,1
july_22_plot_112.pcd,0.0,14.580617122990006,19.882659713168188,4
